T/°C,s/mm,p/bar-1,
33,46,12.5,g
33,42,13.9,g
33,38,15,g
33,34,16.5,g
33,30,18.2,g
33,26,20.2,g
33,24,21.2,g
33,22,22.8,g
33,20,24,g
33,18,25.8,g
33,17,26.5,g
33,16,27.1,g
33,15,28,f
33,14,29,f
33,13,29.5,f
33,12,29.5,f
33,11,30,f
33,10,30,f
33,9,30.2,f
33,8,30.5,f
33,10.5,28.5,f
33,11.5,28.5,g
33,15.5,27.5,g
